509,0,3132
2093,3133,3536
541,3537,3576
2224,3577,3659
444,3660,3835
2151,3836,3847
1468,3848,3918
1217,3919,3956
1311,3957,3958
700,3959,3969
2317,3970,4015
1271,4016,4021
1531,4022,4024
1671,4025,4033
1548,4034,4047
115,4048,4049
170,4050,4055
2685,4056,4056
196,4057,4057
2684,4058,4058
954,4059,4064
1755,4065,4070
2566,4071,4071
310,4072,4072
2169,4073,4197
833,4198,4211
1643,4212,4216
759,4217,4223
66,4224,4224
1184,4225,4231
979,4232,4240
2145,4241,4263
2334,4264,4264
2322,4265,4266
2767,4267,4274
2027,4275,4275
339,4276,4277
1816,4278,4315
2645,4316,4317
1916,4318,4391
2875,4392,4394
149,4395,4401
2178,4402,4404
1477,4405,4411
2075,4412,4417
127,4418,5650
1602,5651,5719
2805,5720,5733
1432,5734,5974
2097,5975,5989
1767,5990,5990
2814,5991,5991
2619,5992,6029
1558,6030,6055
9,6056,6058
266,6059,6059
563,6060,6060
2149,6061,6061
853,6062,6062
904,6063,6063
1946,6064,6073
1080,6074,6075
1625,6076,18095
725,18096,20068
486,20069,20263
112,20264,20370
956,20371,20405
2001,20406,20412
309,20413,20435
1413,20436,20437
1366,20438,20440
1642,20441,20442
763,20443,20495
2381,20496,20546
1139,20547,20631
618,20632,20638
2663,20639,20639
2369,20640,20640
930,20641,20659
876,20660,20661
753,20662,21357
2056,21358,22818
2299,22819,23068
1046,23069,23524
347,23525,23621
1792,23622,23676
1100,23677,23691
216,23692,23724
1645,23725,23760
2101,23761,23817
217,23818,23832
2388,23833,23854
2606,23855,23856
892,23857,23857
235,23858,23863
45,23864,23866
767,23867,23867
1286,23868,23868
1333,23869,23895
974,23896,23896
2313,23897,23897
1479,23898,24958
413,24959,25077
1216,25078,25154
535,25155,25192
2807,25193,25196
2435,25197,25201
590,25202,25239
122,25240,25248
1593,25249,25250
2342,25251,25262
1683,25263,25871
1229,25872,26999
2548,27000,27278
1416,27279,27284
1463,27285,27286
1634,27287,27287
1737,27288,27288
1616,27289,27289
1328,27290,27293
2214,27294,27299
2944,27300,27468
1005,27469,27469
